Run,age_at_death,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,gender,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,microarray_study,Organism,Platform,proteomics_study,ReleaseDate,Sample Name,source_name,SRA Study,Tissue,proteomics_sv1,proteomics_sv2,proteomics_sv3
SRR2015713,73,RNA-Seq,202,12130951834,PRJNA283498,SAMN03651527,7982675922,GEO,public,sra,"ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX1022857,male,GSM1679648,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,C_2,Homo sapiens,ILLUMINA,yes,2016-01-18T00:00:00Z,GSM1679648,BA9 prefrontal cortex,SRP058181,brain (BA9 prefrontal cortex),-0.15212509,-0.22833303,0.14025451
SRR2015714,91,RNA-Seq,202,3880420404,PRJNA283498,SAMN03651528,2379260911,GEO,public,sra,"gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX1022858,male,GSM1679649,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,C_3,Homo sapiens,ILLUMINA,yes,2016-01-18T00:00:00Z,GSM1679649,BA9 prefrontal cortex,SRP058181,brain (BA9 prefrontal cortex),0.20172958,0.3396493,-0.12366047
SRR2015715,82,RNA-Seq,202,7660891006,PRJNA283498,SAMN03651529,4601600714,GEO,public,sra,"gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX1022859,male,GSM1679650,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,C_4,Homo sapiens,ILLUMINA,yes,2016-01-18T00:00:00Z,GSM1679650,BA9 prefrontal cortex,SRP058181,brain (BA9 prefrontal cortex),-0.17993298,-0.05581871,0.02516101
SRR2015716,97,RNA-Seq,202,15216853516,PRJNA283498,SAMN03651530,9422450091,GEO,public,sra,"s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX1022860,male,GSM1679651,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,C_5,Homo sapiens,ILLUMINA,yes,2016-01-18T00:00:00Z,GSM1679651,BA9 prefrontal cortex,SRP058181,brain (BA9 prefrontal cortex),-0.08109418,0.04989364,-0.14413956
SRR2015717,86,RNA-Seq,202,6424391638,PRJNA283498,SAMN03651531,3790564123,GEO,public,sra,"ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX1022861,male,GSM1679652,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,C_6,Homo sapiens,ILLUMINA,yes,2016-01-18T00:00:00Z,GSM1679652,BA9 prefrontal cortex,SRP058181,brain (BA9 prefrontal cortex),-0.23329867,0.01477846,-0.14683852
SRR2015718,91,RNA-Seq,202,6679277258,PRJNA283498,SAMN03651532,3957522447,GEO,public,sra,"ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX1022862,male,GSM1679653,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,C_8,Homo sapiens,ILLUMINA,yes,2016-01-18T00:00:00Z,GSM1679653,BA9 prefrontal cortex,SRP058181,brain (BA9 prefrontal cortex),-0.17205273,0.23816532,0.08814913
SRR2015719,81,RNA-Seq,202,6997693292,PRJNA283498,SAMN03651533,4226586375,GEO,public,sra,"gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX1022863,male,GSM1679654,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,C_9,Homo sapiens,ILLUMINA,yes,2016-01-18T00:00:00Z,GSM1679654,BA9 prefrontal cortex,SRP058181,brain (BA9 prefrontal cortex),-0.10422018,-0.20161225,0.091471724
SRR2015720,79,RNA-Seq,202,6114820376,PRJNA283498,SAMN03651534,3608712092,GEO,public,sra,"gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX1022864,male,GSM1679655,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,C_10,Homo sapiens,ILLUMINA,yes,2016-01-18T00:00:00Z,GSM1679655,BA9 prefrontal cortex,SRP058181,brain (BA9 prefrontal cortex),0.03673347,0.0987465,-0.024181824
SRR2015721,63,RNA-Seq,202,9463971084,PRJNA283498,SAMN03651535,5783349306,GEO,public,sra,"ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX1022865,male,GSM1679656,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,C_11,Homo sapiens,ILLUMINA,yes,2016-01-18T00:00:00Z,GSM1679656,BA9 prefrontal cortex,SRP058181,brain (BA9 prefrontal cortex),-0.10752643,-0.20727456,0.13271946
SRR2015722,66,RNA-Seq,202,11951038716,PRJNA283498,SAMN03651536,7836495699,GEO,public,sra,"gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX1022866,male,GSM1679657,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,C_12,Homo sapiens,ILLUMINA,no,2016-01-18T00:00:00Z,GSM1679657,BA9 prefrontal cortex,SRP058181,brain (BA9 prefrontal cortex),,,
