Run,Assay Type,AvgSpotLen,Bases,Batch,BioProject,biopsy,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,study_arm,tissue
SRR12604092,RNA-Seq,300,11654961600,1,PRJNA662072,1,SAMN16073789,3719699134,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX9087805,GSM4771046,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771046,Vastus lateralis muscle,SRP280348,plaPRT,Vastus lateralis muscle
SRR12604093,RNA-Seq,300,12666799500,1,PRJNA662072,1,SAMN16073788,3840936663,GEO,public,"fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX9087806,GSM4771047,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771047,Vastus lateralis muscle,SRP280348,plaPRT,Vastus lateralis muscle
SRR12604094,RNA-Seq,300,11704649700,1,PRJNA662072,1,SAMN16073787,3508084615,GEO,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX9087807,GSM4771048,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771048,Vastus lateralis muscle,SRP280348,plaPRT,Vastus lateralis muscle
SRR12604095,RNA-Seq,300,13549334400,1,PRJNA662072,3,SAMN16073825,4072978620,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX9087880,GSM4771049,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771049,Vastus lateralis muscle,SRP280348,plaPRT,Vastus lateralis muscle
SRR12604096,RNA-Seq,300,12967743000,1,PRJNA662072,1,SAMN16073824,3921500551,GEO,public,"sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX9087881,GSM4771050,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771050,Vastus lateralis muscle,SRP280348,plaPRT,Vastus lateralis muscle
SRR12604097,RNA-Seq,300,12115790700,1,PRJNA662072,3,SAMN16073823,3638137746,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX9087882,GSM4771051,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771051,Vastus lateralis muscle,SRP280348,plaPRT,Vastus lateralis muscle
SRR12604098,RNA-Seq,300,10072092900,1,PRJNA662072,1,SAMN16073821,3044408230,GEO,public,"sra,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9087883,GSM4771052,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771052,Vastus lateralis muscle,SRP280348,plaPRT,Vastus lateralis muscle
SRR12604099,RNA-Seq,300,13989204600,1,PRJNA662072,1,SAMN16073820,4190205600,GEO,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX9087884,GSM4771053,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771053,Vastus lateralis muscle,SRP280348,metPRT,Vastus lateralis muscle
SRR12604100,RNA-Seq,300,13406421300,1,PRJNA662072,3,SAMN16073780,4039001621,GEO,public,"fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX9087885,GSM4771054,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771054,Vastus lateralis muscle,SRP280348,metPRT,Vastus lateralis muscle
SRR12604101,RNA-Seq,300,12500515800,1,PRJNA662072,3,SAMN16073779,3762623703,GEO,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX9087886,GSM4771055,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771055,Vastus lateralis muscle,SRP280348,plaPRT,Vastus lateralis muscle
SRR12604102,RNA-Seq,300,12257836800,1,PRJNA662072,1,SAMN16073778,3692379913,GEO,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX9087887,GSM4771056,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771056,Vastus lateralis muscle,SRP280348,plaPRT,Vastus lateralis muscle
SRR12604103,RNA-Seq,300,11176699200,1,PRJNA662072,3,SAMN16073777,3406878656,GEO,public,"fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX9087888,GSM4771057,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771057,Vastus lateralis muscle,SRP280348,plaPRT,Vastus lateralis muscle
SRR12604104,RNA-Seq,300,11957574300,1,PRJNA662072,1,SAMN16073822,3598475425,GEO,public,"sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX9087889,GSM4771058,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771058,Vastus lateralis muscle,SRP280348,metPRT,Vastus lateralis muscle
SRR12604105,RNA-Seq,300,12034907400,1,PRJNA662072,3,SAMN16073776,3598306820,GEO,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX9087890,GSM4771059,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771059,Vastus lateralis muscle,SRP280348,metPRT,Vastus lateralis muscle
SRR12604106,RNA-Seq,300,11196012600,1,PRJNA662072,1,SAMN16073775,3365138441,GEO,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX9087891,GSM4771060,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771060,Vastus lateralis muscle,SRP280348,metPRT,Vastus lateralis muscle
SRR12604107,RNA-Seq,300,16209662400,1,PRJNA662072,3,SAMN16073774,4864149629,GEO,public,"sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX9087892,GSM4771061,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771061,Vastus lateralis muscle,SRP280348,metPRT,Vastus lateralis muscle
SRR12604108,RNA-Seq,300,18341397600,1,PRJNA662072,1,SAMN16073773,5529722709,GEO,public,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX9087893,GSM4771062,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771062,Vastus lateralis muscle,SRP280348,plaPRT,Vastus lateralis muscle
SRR12604109,RNA-Seq,300,15837459600,1,PRJNA662072,3,SAMN16073772,4749784706,GEO,public,"fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX9087894,GSM4771063,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771063,Vastus lateralis muscle,SRP280348,plaPRT,Vastus lateralis muscle
SRR12604110,RNA-Seq,300,17593862700,1,PRJNA662072,1,SAMN16073771,5324835977,GEO,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX9087895,GSM4771064,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771064,Vastus lateralis muscle,SRP280348,plaPRT,Vastus lateralis muscle
SRR12604111,RNA-Seq,300,15868549800,1,PRJNA662072,3,SAMN16073770,4838387383,GEO,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX9087896,GSM4771065,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771065,Vastus lateralis muscle,SRP280348,plaPRT,Vastus lateralis muscle
SRR12604112,RNA-Seq,300,8620293300,1,PRJNA662072,1,SAMN16073769,2615935688,GEO,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX9087897,GSM4771066,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771066,Vastus lateralis muscle,SRP280348,plaPRT,Vastus lateralis muscle
SRR12604113,RNA-Seq,300,15232980300,1,PRJNA662072,3,SAMN16073768,4649947278,GEO,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX9087898,GSM4771067,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771067,Vastus lateralis muscle,SRP280348,plaPRT,Vastus lateralis muscle
SRR12604114,RNA-Seq,300,13192104900,1,PRJNA662072,1,SAMN16073767,4025162827,GEO,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX9087899,GSM4771068,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771068,Vastus lateralis muscle,SRP280348,plaPRT,Vastus lateralis muscle
SRR12604115,RNA-Seq,300,16804642500,1,PRJNA662072,1,SAMN16073766,5162585265,GEO,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX9087900,GSM4771069,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771069,Vastus lateralis muscle,SRP280348,metPRT,Vastus lateralis muscle
SRR12604116,RNA-Seq,300,12704858700,1,PRJNA662072,3,SAMN16073765,3865275651,GEO,public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX9087901,GSM4771070,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771070,Vastus lateralis muscle,SRP280348,metPRT,Vastus lateralis muscle
SRR12604117,RNA-Seq,300,14289705000,1,PRJNA662072,1,SAMN16073803,4383048722,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX9087902,GSM4771071,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771071,Vastus lateralis muscle,SRP280348,metPRT,Vastus lateralis muscle
SRR12604118,RNA-Seq,300,13428125400,1,PRJNA662072,3,SAMN16073802,4170877605,GEO,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX9087903,GSM4771072,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771072,Vastus lateralis muscle,SRP280348,metPRT,Vastus lateralis muscle
SRR12604119,RNA-Seq,300,12904029600,1,PRJNA662072,1,SAMN16073801,3874435476,GEO,public,"sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX9087808,GSM4771073,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771073,Vastus lateralis muscle,SRP280348,plaPRT,Vastus lateralis muscle
SRR12604120,RNA-Seq,300,14057418600,1,PRJNA662072,1,SAMN16073800,4225291587,GEO,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX9087809,GSM4771074,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771074,Vastus lateralis muscle,SRP280348,plaPRT,Vastus lateralis muscle
SRR12604121,RNA-Seq,300,5738473800,1,PRJNA662072,1,SAMN16073799,1772308914,GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX9087810,GSM4771075,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771075,Vastus lateralis muscle,SRP280348,plaPRT,Vastus lateralis muscle
