Started job on	Dec 10 23:23:54
Started mapping on	Dec 10 23:26:47
Finished on	Dec 10 23:28:40
Mapping speed, Million of reads per hour	1180.57
Number of input reads	37056692
Average input read length	49
Uniquely mapped reads number	31650442
Uniquely mapped reads %	85.41%
Average mapped length	49.19
Number of splices: Total	4058488
Number of splices: Annotated (sjdb)	4033072
Number of splices: GT/AG	4013132
Number of splices: GC/AG	27609
Number of splices: AT/AC	2059
Number of splices: Non-canonical	15688
Mismatch rate per base, %	0.27%
Deletion rate per base	0.01%
Deletion average length	1.58
Insertion rate per base	0.00%
Insertion average length	1.30
Number of reads mapped to multiple loci	4676166
% of reads mapped to multiple loci	12.62%
Number of reads mapped to too many loci	372142
% of reads mapped to too many loci	1.00%
Number of reads unmapped: too many mismatches	0
% of reads unmapped: too many mismatches	0.00%
Number of reads unmapped: too short	307752
% of reads unmapped: too short	0.83%
Number of reads unmapped: other	50190
% of reads unmapped: other	0.14%
Number of chimeric reads	202742
% of chimeric reads	0.55%
